Emp ID,Month,Days Present,Leave Days,Overtime Hours
DB1001,2026-01,17,5,2
DB1001,2026-02,17,5,0
DB1001,2026-03,17,5,0
DB1001,2026-04,22,0,0
DB1001,2026-05,21,1,0
DB1001,2026-06,21,1,0
DB1002,2026-01,19,3,8
DB1002,2026-02,18,4,2
DB1002,2026-03,21,1,8
DB1002,2026-04,17,5,0
DB1002,2026-05,20,2,6
DB1002,2026-06,18,4,0
DB1003,2026-01,18,4,N/A
DB1003,2026-02,20,2,N/A
DB1003,2026-03,17,5,6
DB1003,2026-04,17,5,8
DB1003,2026-05,22,0,2
DB1003,2026-06,18,4,N/A
DB1004,2026-01,19,3,0
DB1004,2026-02,19,3,N/A
DB1004,2026-03,21,1,4
DB1004,2026-04,22,0,N/A
DB1004,2026-05,21,1,8
DB1004,2026-06,22,0,0
DB1005,2026-01,21,1,8
DB1005,2026-02,18,4,0
DB1005,2026-03,20,2,0
DB1005,2026-04,18,4,4
DB1005,2026-05,20,2,4
DB1005,2026-06,20,2,0
DB1007,2026-01,22,0,8
DB1007,2026-02,17,5,8
DB1007,2026-03,20,2,0
DB1007,2026-04,22,0,8
DB1007,2026-05,21,1,8
DB1007,2026-06,19,3,2
DB1008,2026-01,17,5,8
DB1008,2026-02,17,5,0
DB1008,2026-03,22,0,0
DB1008,2026-04,21,1,0
DB1008,2026-05,20,2,0
DB1008,2026-06,18,4,N/A
DB1009,2026-01,18,4,N/A
DB1009,2026-02,18,4,2
DB1009,2026-03,19,3,N/A
DB1009,2026-04,17,5,2
DB1009,2026-05,20,2,8
DB1009,2026-06,22,0,2
DB1010,2026-01,17,5,8
DB1010,2026-02,19,3,6
DB1010,2026-03,20,2,2
DB1010,2026-04,21,1,0
DB1010,2026-05,21,1,8
DB1010,2026-06,22,0,0
DB1011,2026-01,21,1,0
DB1011,2026-02,17,5,6
DB1011,2026-03,21,1,6
DB1011,2026-04,19,3,2
DB1011,2026-05,22,0,4
DB1011,2026-06,20,2,4
DB1012,2026-01,18,4,0
DB1012,2026-02,18,4,N/A
DB1012,2026-03,20,2,N/A
DB1012,2026-04,17,5,4
DB1012,2026-05,19,3,0
DB1012,2026-06,17,5,2
DB1013,2026-01,21,1,6
DB1013,2026-02,20,2,0
DB1013,2026-03,22,0,2
DB1013,2026-04,17,5,0
DB1013,2026-05,21,1,4
DB1013,2026-06,18,4,8
DB1014,2026-01,17,5,6
DB1014,2026-02,21,1,4
DB1014,2026-03,19,3,2
DB1014,2026-04,17,5,2
DB1014,2026-05,19,3,N/A
DB1014,2026-06,20,2,8
DB1016,2026-01,21,1,N/A
DB1016,2026-02,22,0,0
DB1016,2026-03,19,3,4
DB1016,2026-04,20,2,6
DB1016,2026-05,19,3,0
DB1016,2026-06,18,4,2
DB1017,2026-01,22,0,6
DB1017,2026-02,18,4,0
DB1017,2026-03,20,2,6
DB1017,2026-04,19,3,0
DB1017,2026-05,18,4,2
DB1017,2026-06,17,5,0
DB1019,2026-01,19,3,0
DB1019,2026-02,22,0,0
DB1019,2026-03,19,3,6
DB1019,2026-04,19,3,4
DB1019,2026-05,21,1,8
DB1019,2026-06,18,4,8
DB1020,2026-01,18,4,4
DB1020,2026-02,21,1,N/A
DB1020,2026-03,22,0,0
DB1020,2026-04,20,2,0
DB1020,2026-05,20,2,4
DB1020,2026-06,21,1,2
DB1021,2026-01,22,0,4
