Emp ID,Annual CTC,Variable Pay %,Last Revision
DB1001,"₹2,868,000",5%,30/12/2023
DB1002,"₹2,485,000",20%,26/08/2025
DB1003,"₹2,263,000",20%,18/11/2022
DB1004,"₹2,992,000",5%,07/08/2023
DB1005,"₹3,368,000",5%,16/08/2022
DB1006,"₹2,233,000",5%,07/12/2024
DB1007,"₹2,268,000",10%,24/02/2023
DB1008,"₹3,276,000",10%,10/09/2026
DB1009,"₹1,879,000",20%,23/08/2023
DB1010,"₹2,235,000",15%,08/07/2023
DB1011,"₹2,919,000",8%,08/05/2024
DB1012,"₹3,031,000",5%,26/03/2024
DB1013,"₹3,132,000",8%,23/12/2024
DB1014,"₹2,413,000",12%,11/04/2022
DB1015,"₹2,623,000",10%,04/05/2025
DB1016,"₹3,862,000",8%,16/03/2027
DB1017,"₹2,063,000",10%,04/01/2023
DB1018,"₹2,626,000",12%,27/12/2026
DB1019,"₹2,614,000",8%,09/11/2025
DB1020,"₹2,973,000",20%,20/07/2023
DB1021,"₹2,196,000",5%,23/06/2024
DB1022,"₹2,828,000",12%,22/06/2022
DB1023,"₹2,630,000",15%,11/01/2027
DB1024,"₹2,196,000",10%,15/07/2024
DB1025,"₹2,081,000",12%,17/03/2026
DB1026,"₹1,862,000",8%,13/12/2025
DB1027,"₹4,021,000",12%,27/12/2022
DB1028,"₹2,946,000",12%,18/11/2026
DB1029,"₹3,702,000",12%,02/01/2024
DB1030,"₹2,437,000",15%,25/12/2025
DB1031,"₹2,724,000",12%,05/04/2024
DB1032,"₹2,582,000",8%,20/05/2021
DB1033,"₹2,525,000",20%,22/04/2026
DB1034,"₹1,979,000",5%,28/10/2024
DB1035,"₹2,354,000",15%,09/04/2022
DB1036,"₹2,136,000",8%,06/07/2025
DB1037,"₹1,375,000",20%,13/12/2024
DB1038,"₹1,754,000",12%,15/01/2025
DB1039,"₹2,054,000",12%,11/07/2023
DB1040,"₹2,306,000",12%,14/07/2022
DB1041,"₹1,931,000",12%,01/08/2025
DB1042,"₹1,416,000",10%,14/12/2020
DB1043,"₹2,134,000",5%,16/02/2027
DB1044,"₹1,714,000",12%,21/03/2021
DB1045,"₹2,070,000",12%,07/01/2025
DB1046,"₹2,767,000",5%,29/08/2022
DB1047,"₹2,794,000",8%,30/09/2025
DB1048,"₹2,020,000",8%,29/02/2024
DB1049,"₹1,863,000",5%,07/04/2024
DB1050,"₹1,588,000",5%,04/11/2024
DB1051,"₹1,743,000",8%,08/05/2023
DB1052,"₹2,551,000",20%,22/09/2022
DB1053,"₹2,071,000",20%,30/10/2024
DB1054,"₹2,063,000",8%,02/04/2025
DB1055,"₹2,254,000",12%,09/10/2022
DB1056,"₹1,897,000",10%,11/11/2024
DB1057,"₹2,108,000",15%,02/12/2023
DB1058,"₹1,265,000",10%,03/02/2025
DB1059,"₹1,383,000",5%,09/11/2022
DB1060,"₹1,067,000",5%,30/12/2025
DB1061,"₹1,550,000",5%,09/08/2025
DB1062,"₹1,233,000",8%,06/11/2024
DB1063,"₹1,122,000",12%,12/09/2021
DB1064,"₹1,231,000",5%,29/10/2023
DB1065,"₹1,020,000",8%,29/05/2025
DB1066,"₹2,213,000",10%,03/10/2026
DB1067,"₹1,512,000",15%,12/07/2021
DB1068,"₹1,531,000",10%,05/12/2023
DB1069,"₹1,296,000",15%,21/04/2024
DB1070,"₹1,797,000",15%,15/12/2025
DB1071,"₹1,272,000",15%,23/07/2020
DB1072,"₹1,433,000",15%,17/02/2022
DB1073,"₹952,000",12%,07/11/2024
DB1074,"₹1,569,000",8%,25/04/2023
DB1075,"₹1,013,000",10%,19/07/2022
DB1076,"₹1,177,000",5%,09/08/2026
DB1077,"₹1,414,000",5%,08/08/2024
DB1078,"₹1,633,000",5%,28/05/2024
DB1079,"₹1,887,000",15%,14/06/2024
DB1080,"₹1,401,000",10%,31/10/2025
DB1081,"₹2,089,000",10%,09/04/2026
DB1082,"₹1,730,000",8%,21/08/2021
DB1083,"₹1,351,000",20%,27/04/2024
DB1084,"₹1,604,000",8%,16/07/2023
DB1085,"₹2,315,000",8%,29/11/2023
DB1086,"₹1,916,000",12%,22/12/2026
DB1087,"₹2,059,000",15%,20/12/2020
DB1088,"₹858,000",8%,29/08/2020
DB1089,"₹1,081,000",20%,27/08/2022
DB1090,"₹868,000",10%,14/02/2024
DB1091,"₹736,000",10%,29/10/2024
DB1092,"₹744,000",10%,27/01/2023
DB1093,"₹712,000",15%,28/11/2026
DB1094,"₹1,102,000",20%,30/07/2023
DB1095,"₹773,000",12%,10/07/2024
DB1096,"₹654,000",20%,28/05/2022
DB1097,"₹868,000",12%,22/01/2023
DB1098,"₹886,000",8%,04/08/2023
DB1099,"₹733,000",5%,26/10/2021
DB1100,"₹748,000",10%,28/03/2025
DB1101,"₹1,127,000",20%,29/03/2026
DB1102,"₹771,000",15%,09/06/2022
